playerId,Name,seasonId,teamAbbrev,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,pim,toi,games,ppg,gpg,apg,spg,positionCode,team_points,team_wins,std_ppg
8477402,Pavel Buchnevich,20162017,NYR,8,12,20,6,1,3,0,0,55,773,0,0,13,13.258536585365855,41,0.4878048780487805,0.1951219512195122,0.2926829268292683,1.3414634146341464,LW,102,48,0.19915523988546066
8477493,Aleksander Barkov,20132014,FLA,8,16,24,-3,3,6,1,0,87,1229,0,0,10,17.096604938271607,54,0.4444444444444444,0.14814814814814814,0.2962962962962963,1.6111111111111112,C,66,29,0.1915158617192143
8477444,Andre Burakovsky,20142015,WSH,9,13,22,12,2,3,2,0,65,875,0,0,10,12.920754716981131,53,0.41509433962264153,0.16981132075471697,0.24528301886792453,1.2264150943396226,LW,101,45,0.1912493542200608
8482146,Luke Evangelista,20232024,NSH,9,12,21,-2,1,4,0,0,88,785,0,0,14,13.675886524822694,47,0.44680851063829785,0.19148936170212766,0.2553191489361702,1.872340425531915,RW,54,26,0.1870209883002115
8477979,Nicolas Aube,20192020,PHI,7,8,15,1,2,3,1,0,48,615,0,0,19,11.289814814814815,36,0.4166666666666667,0.19444444444444445,0.2222222222222222,1.3333333333333333,RW,89,41,0.18565709710218206
8476459,Mika Zibanejad,20122013,OTT,7,13,20,9,3,4,0,0,90,812,0,0,6,13.56626984126984,42,0.47619047619047616,0.16666666666666666,0.30952380952380953,2.142857142857143,C,56,25,0.16436670219129618
8480014,Gabriel Vilardi,20202021,LAK,10,13,23,-8,3,4,3,0,65,1083,0,0,6,14.751543209876544,54,0.42592592592592593,0.18518518518518517,0.24074074074074073,1.2037037037037037,C,49,21,0.1192011474693921
8480797,Joel Farabee,20192020,PHI,8,13,21,6,1,2,1,0,81,1013,0,0,39,14.105448717948718,52,0.40384615384615385,0.15384615384615385,0.25,1.5576923076923077,LW,89,41,0.10801330299507562
8477947,Sonny Milano,20172018,CBJ,14,8,22,-8,0,4,3,1,69,871,0,0,10,11.64969696969697,55,0.4,0.2545454545454545,0.14545454545454545,1.2545454545454546,LW,97,45,0.08449232484077826
8477951,Nick Schmaltz,20162017,CHI,6,22,28,10,0,2,0,0,66,1070,0,0,6,13.26120218579235,61,0.45901639344262296,0.09836065573770492,0.36065573770491804,1.0819672131147542,C,109,50,0.06688108429889114
